sample_id,video_id,channel_id,publish_time,input_window_start_h,input_window_end_h,target_window_start_h,target_window_end_h,views_48h,views_72h,next_24h_views,log_next_24h_views
seCg9nC1UGA_first48h,seCg9nC1UGA,UCXCLaaClAWQiTkl3pw9ZdLw,2026-05-07 21:40:21+00:00,0,48,48,72,127151.0,129609.71938168847,2458.7193816884683,7.807802549935285
n_u7YnBLEe8_first48h,n_u7YnBLEe8,UCzpwkXk_GlfmWntZ9v4l3Tg,2026-05-08 12:59:06+00:00,0,48,48,72,28359.658276863505,33720.94256120527,5361.2842843417675,8.587145335730984
t8gHon4atu8_first48h,t8gHon4atu8,UC5nwNW4KdC0SzrhF9BXEYOQ,2026-05-08 11:00:07+00:00,0,48,48,72,14713.711566424323,15306.759050587389,593.0474841630657,6.386959255836101
YWvQDrp4XGY_first48h,YWvQDrp4XGY,UClQ5uf3vMejw6-BalB-xeOg,2026-05-07 13:36:02+00:00,0,48,48,72,8948.0,9172.99770852429,224.99770852428992,5.42052485994783
LI5zgcZU3X4_first48h,LI5zgcZU3X4,UCeBPTBz1oRnsWsUBnKNNKNw,2026-05-07 14:41:03+00:00,0,48,48,72,331618.8714057508,383025.01211556385,51406.140709813044,10.847532366109597
YqS83Wc0l_g_first48h,YqS83Wc0l_g,UCdokt2U4QvDBxWxuJ-MBGHA,2026-05-07 23:24:51+00:00,0,48,48,72,58469.92403100775,58909.0,439.0759689922488,6.086947368809402
yPFkZCFg31A_first48h,yPFkZCFg31A,UCDq-_Ozntz1f_KiexzPgpSw,2026-05-07 15:07:05+00:00,0,48,48,72,8196769.539732494,8197721.303058388,951.7633258933201,6.859366526424269
qw949ROgyQM_first48h,qw949ROgyQM,UCwIdAI4fCV4lisP3TZzOGuw,2026-05-08 15:00:06+00:00,0,48,48,72,4491.0,4567.1659574468085,76.16595744680853,4.345958394061843
IN7YeEgoMcY_first48h,IN7YeEgoMcY,UCwIdAI4fCV4lisP3TZzOGuw,2026-05-08 10:56:24+00:00,0,48,48,72,25903.530066815147,36544.08352668214,10640.553459866991,9.272521754105599
t3bOXryrKQw_first48h,t3bOXryrKQw,UCGKL5LoNqNAR8yCj8wiWScA,2026-05-06 18:39:30+00:00,0,48,48,72,12998.814509480626,14912.082352941177,1913.2678434605514,7.557090501334431
3rDZlVHFx0s_first48h,3rDZlVHFx0s,UC2TuODJhC03pLgd6MpWP0iw,2026-05-08 11:53:01+00:00,0,48,48,72,1938.7695225637672,2273.131367292225,334.361844728458,5.815210082418363
JmaI7OUFE9Y_first48h,JmaI7OUFE9Y,UCX65vg9q8k-IuWqoViBL5vw,2026-05-08 12:50:00+00:00,0,48,48,72,36826.99853587116,37076.43524699599,249.4367111248357,5.523206238403224
QI5KY_rKGR8_first48h,QI5KY_rKGR8,UC8rk-fIWJXYlSF8tkfG9wWg,2026-05-07 09:00:06+00:00,0,48,48,72,75194.6214642263,81392.40136054422,6197.779896317923,8.732107760750846
5g5Smb0GnLw_first48h,5g5Smb0GnLw,UCsZ0adX615jzhh1nitOQ3Eg,2026-05-07 14:54:26+00:00,0,48,48,72,2405.229314420804,2490.1941407958025,84.96482637499867,4.453938216952428
ePZeyh5q9R8_first48h,ePZeyh5q9R8,UCGIY_O-8vW4rfX98KlMkvRg,2026-05-06 22:21:17+00:00,0,48,48,72,2566566.9323990108,2687397.7218337217,120830.78943471098,11.702154687435081
DpDdnp_45vE_first48h,DpDdnp_45vE,UCIr2L5vnVPAC1-FCLf5mcng,2026-05-07 15:43:06+00:00,0,48,48,72,79261.0,79456.09340899171,195.09340899171366,5.278591122192346
3JsvwbrGZGM_first48h,3JsvwbrGZGM,UCo5E9pEhK_9kWG7-5HHcyRg,2026-05-07 21:40:45+00:00,0,48,48,72,59103.0,60285.0,1182.0,7.075808863978387
gIxr2aTckX0_first48h,gIxr2aTckX0,UC9tnW2dpPDNc_aEOnhsRs4g,2026-05-08 12:00:06+00:00,0,48,48,72,6075.246739697444,6321.042110243671,245.79537054622688,5.508559533938878
hPmsZqYYZiM_first48h,hPmsZqYYZiM,UC4wpY8jmg-n4W-UddQBr1Ag,2026-05-08 11:33:30+00:00,0,48,48,72,60832.97729645095,80567.95879185203,19734.98149540108,9.890198720602402
OblHI0ed0ac_first48h,OblHI0ed0ac,UCZRYEa3YILhcdYd7MHkFGzg,2026-05-07 08:31:44+00:00,0,48,48,72,3819.404522613065,3911.9598121085596,92.55528949549443,4.538552593029676
r9okBpTebXg_first48h,r9okBpTebXg,UChqUTb7kYRX8-EiaN3XFrSQ,2026-05-08 11:55:02+00:00,0,48,48,72,5707.454652071931,5911.192974238876,203.73832216694427,5.3217326865129655
LJk0eIqocuY_first48h,LJk0eIqocuY,UCNkLoS8K8QOpkTqCGqz3ycg,2026-05-08 15:25:34+00:00,0,48,48,72,676.0,681.0,5.0,1.791759469228055
m-f98AArA48_first48h,m-f98AArA48,UCmFA-w0lm-HBBxrb9c69poA,2026-05-08 12:34:55+00:00,0,48,48,72,11948.758307372793,12328.799459824442,380.0411524516494,5.942907380977978
2q5ZosbG2nY_first48h,2q5ZosbG2nY,UCk5C4AR3uvmKwZYkIlSobbg,2026-05-07 10:14:24+00:00,0,48,48,72,31008.321546052633,34084.16640706127,3075.8448610086343,8.031659955139245
ztgsjERJcps_first48h,ztgsjERJcps,UCyoSQyaCrZHro6F_nBiXIYg,2026-05-07 04:25:22+00:00,0,48,48,72,204707.06532663316,215670.2106490478,10963.145322414639,9.302385711841826
2Lubw14IhnI_first48h,2Lubw14IhnI,UC_v7qcdPJUANBAa--1pv_UQ,2026-05-07 20:24:10+00:00,0,48,48,72,21419.0,21757.0,338.0,5.82600010738045
oCtxwpfHEls_first48h,oCtxwpfHEls,UCTBbuMEc805yl3utRp35rDg,2026-05-08 15:24:55+00:00,0,48,48,72,59.0,65.41405269761606,6.414052697616057,2.003377212555459
bsUBqySizT8_first48h,bsUBqySizT8,UCgnysg0nQxiD1ahcBMuwuUA,2026-05-08 13:12:10+00:00,0,48,48,72,970624.422253923,974019.3289672544,3394.906713331351,8.130326077481312
yFE7Kdt8Xq0_first48h,yFE7Kdt8Xq0,UCgjsiInAgdceEq2lpRNNYvw,2026-05-07 09:01:31+00:00,0,48,48,72,24113.223684210527,32554.535691151705,8441.312006941178,9.041011484548509
KNU4Zw_HKtg_first48h,KNU4Zw_HKtg,UC5l1Yto5oOIgRXlI4p4VKbw,2026-05-07 00:00:00+00:00,0,48,48,72,1851.0,1872.4586065573772,21.458606557377152,3.1116739063071814
ywpRCuMw-lw_first48h,ywpRCuMw-lw,UCNxBGANd7itrXCT-KiGSA-w,2026-05-08 14:45:37+00:00,0,48,48,72,39181.18155619597,39677.789782048276,496.60822585230926,6.209813072342009
WGMR-IvFWlM_first48h,WGMR-IvFWlM,UCpmAcCUZtDEZNQWmqwX7DxQ,2026-05-08 15:00:06+00:00,0,48,48,72,4142.0,4234.761053621825,92.76105362182534,4.540749563199707
8hyRKquHF1U_first48h,8hyRKquHF1U,UCMJiPpN_09F0aWpQrgbc_qg,2026-05-07 08:30:29+00:00,0,48,48,72,792340.2342569269,923955.9256775253,131615.69142059842,11.787649124333566
vssft_vWMWo_first48h,vssft_vWMWo,UC67Wr_9pA4I0glIxDt_Cpyw,2026-05-06 23:41:12+00:00,0,48,48,72,135859.40661157024,142286.32823802374,6426.921626453492,8.768406534258727
u2ZuHy1h1dw_first48h,u2ZuHy1h1dw,UCYbN-4QeDOp3oRU4TpPvj-g,2026-05-08 15:14:31+00:00,0,48,48,72,886.0,934.0,48.0,3.8918202981106265
