sample_id,video_id,channel_id,publish_time,duration_seconds,category,publish_hour,is_shorts,title_length,tag_count,subscriber_count_at_publish,log_subscriber_count,views_1h,views_3h,views_24h,views_48h,log_views_1h,log_views_3h,log_views_24h,log_views_48h,growth_1h_to_3h,growth_3h_to_24h,growth_24h_to_48h,rate_late_to_early,likes_48h,comments_48h,like_view_ratio_48h,comment_view_ratio_48h,engagement_rate_48h
Hms0wBGcivw_first48h,Hms0wBGcivw,UCVZqteUtWfSnwQ0ShjHixVw,2026-05-07 03:00:14+00:00,83,Gaming,3.0,False,29,0,117000.0,11.669937760751914,,,,51342.862468931235,0.0,0.0,0.0,10.846300684725982,,,,,3016.205468102734,364.0,0.058746344147210534,0.007089593031948012,0.06583593717915855
Tgc0H1FxTCs_first48h,Tgc0H1FxTCs,UCpu3bemTQwAU8PqM4kJdoEQ,2026-05-08 11:36:25+00:00,397,News & Politics,11.0,False,58,8,3220000.0,14.984892228079548,,7339.262295081967,34500.528455284555,37839.80584467574,0.0,8.901129855994872,10.448758905089827,10.541143319045709,,27161.266160202587,3339.277389391187,,533.9985321590606,6.0,0.014112084357700184,0.00015856318144518786,0.014270647539145373
Vl3jhQABSU0_first48h,Vl3jhQABSU0,UCpmAcCUZtDEZNQWmqwX7DxQ,2026-05-08 10:00:51+00:00,543,News & Politics,10.0,False,64,20,496000.0,13.114333221834064,,,24770.10425354462,25137.623682076235,0.0,0.0,10.117433101770098,10.132160734507039,,,367.5194285316138,,196.93106244931062,37.0,0.007834116101822603,0.001471897283050742,0.009306013384873345
vGmp2epBKCg_first48h,vGmp2epBKCg,UCoLrcjPV5PbUrUyXq5mjc_A,2026-05-06 22:22:15+00:00,600,Sports,22.0,False,60,6,7200000.0,15.789591722875162,,,,236900.0,0.0,0.0,0.0,12.375397611328344,,,,,3929.0,252.0,0.01658505698607007,0.0010637399746728578,0.01764879696074293
PvOoGgwf3YU_first48h,PvOoGgwf3YU,UC37k-Kxlc7rDpHLZTNytNDw,2026-05-08 13:00:06+00:00,4390,Sports,13.0,False,65,34,444000.0,13.003582093664077,,16705.444444444445,78664.13333333333,84100.48910411622,0.0,9.72354981884348,11.27295530362425,11.33977955215525,,61958.688888888886,5436.355770782888,,1988.721549636804,164.68038740920096,0.023646967702824786,0.0019581382838966253,0.025605105986721412
mQv7y1dLe1A_first48h,mQv7y1dLe1A,UCZFHPeF9g1R5E_CzE1KpfUg,2026-05-07 09:52:09+00:00,545,Gaming,9.0,False,74,4,0.0,0.0,,,,11007.34338358459,0.0,0.0,0.0,9.306408753689563,,,,,478.6214405360134,20.0,0.043482012312779164,0.0018169688455278218,0.04529898115830698
pufR0WugQMg_first48h,pufR0WugQMg,UCjJCUFquka_STzAG_5OGElQ,2026-05-08 13:20:59+00:00,0,Sports,13.0,False,100,36,1930000.0,14.47303107901565,,203663.42105263157,419842.92393915134,422635.2803605313,0.0,12.224228923496678,12.94763831152688,12.954267230835365,,216179.50288651977,2792.3564213799546,,4443.601043643263,11.0,0.010514032429693579,2.602716931396828e-05,0.010540059599007546
PY29Ef-eiF0_first48h,PY29Ef-eiF0,UC7mJ2EDXFomeDIRFu5FtEbA,2026-05-07 16:24:14+00:00,0,Entertainment,16.0,False,93,33,2370000.0,14.678400935052153,,,42527.19031719535,121731.5629510826,0.0,0.0,10.657922436606311,11.709581810573544,,,79204.37263388725,,3175.281475541299,53.897353648757026,0.026084290701313635,0.0004427557844666423,0.026527046485780276
0_OqGHPMvBE_first48h,0_OqGHPMvBE,UCQeRaTukNYft1_6AZPACnog,2026-05-07 20:00:01+00:00,1425,Gaming,20.0,False,41,10,4530000.0,15.326232718209745,,,542603.3575605681,591810.2146422629,0.0,0.0,13.204135710064083,13.290942968823213,,,49206.85708169476,,20000.0,4938.459234608985,0.033794617776392366,0.008344667111895292,0.04213928488828766
VLM723q949g_first48h,VLM723q949g,UC8p1vwvWtl6T73JiExfWs1g,2026-05-07 18:12:04+00:00,0,News & Politics,18.0,False,52,17,7010000.0,15.762848401664115,,,13048.662207357862,36559.551207327226,0.0,0.0,9.47651752792218,10.506725102241283,,,23510.888999969364,,224.0,1.0,0.006126989872761517,2.7352633360542488e-05,0.006154342506122059
