model,split,timestamp,f1,precision,recall,auc_roc,pr_auc,threshold,n_samples,n_positive
lightgbm_classifier,valid,2026-05-28T10:52:20.107336,0.72,0.8181818181818182,0.6428571428571429,0.8209183673469388,0.6930626147560014,0.6115100542405966,154,14
lightgbm_classifier,test,2026-05-28T10:52:20.111723,0.5454545454545454,0.8571428571428571,0.4,0.8190476190476191,0.5856281533384338,0.6115100542405966,155,15
lstm_classifier,valid,2026-05-28T10:52:47.094703,0.23728813559322035,0.15555555555555556,0.5,0.5765306122448979,0.11551455211228093,0.4572981595993042,154,14
lstm_classifier,test,2026-05-28T10:52:47.445380,0.18461538461538463,0.12,0.4,0.5568345323741007,0.15672741225368242,0.4572981595993042,154,15
stacking_ensemble,oof_train,2026-05-28T10:53:27.526319,0.7640449438202247,0.7816091954022989,0.7472527472527473,0.9328246504326237,0.8368031103666197,0.8279432072761883,693,91
stacking_ensemble,test,2026-05-28T10:53:27.540233,0.47619047619047616,0.8333333333333334,0.3333333333333333,0.8105515587529977,0.568666601467113,0.8279432072761883,154,15
