video_id,lgbm_oof_proba,label
PQl6LS5CiDo,0.7853741776549746,1
qelA4Hzrf8s,0.12171693994436185,0
_ELXgAMakro,0.0668677016181565,0
zH6gmRGk5n8,0.031754515072371974,0
0iJzIglghEE,0.7768836438830169,1
iCo_Ifshhks,0.7290721144691105,1
uMyyVCUab5Q,0.03499115073508504,0
nmRxagU64hc,0.07978220697247615,0
o9f5irzKzeQ,0.07057424101263605,0
O_iOFpRl_AU,0.09351350921638514,0
TjPzJjVcJ2U,0.050631053390540054,0
FUwp-U1Si1A,0.7755490388412619,1
UBO_sKnS3Xg,0.03221310599416568,0
O9a9La9VUKI,0.7636903838426827,1
_ZKIYRm1S-k,0.03314845838250677,0
r_xevi3rSQI,0.16144414528537196,0
Xl9BAJHhKYg,0.03253061859108326,0
gxYEO_COwGM,0.4381177288428128,0
7Eyx5qfiUQ0,0.14388186431817618,0
inMC82cffYU,0.040557701963594435,0
dRp0-8qOmAM,0.7408736194858029,1
uyzS0lb4eL0,0.611605833659025,1
oMteHKRPI24,0.060488056970021714,0
Q3FAQkOyvYE,0.04859321815747419,0
OcUewUGjagQ,0.06716748290475265,0
IVIxQc-32EA,0.04054345203150601,0
igO1LNYZ50s,0.028233081747355736,0
oQL_b7xFy_g,0.031972467185374207,0
_6VeAg9hVMg,0.040085068426352816,0
EkPJgZOJSc8,0.047434936632968744,0
5w3hJLbL-Ps,0.07367219112635348,0
U1K7-qsZ95I,0.6909458664649382,1
W09DxeDO7Vk,0.03697829718635646,0
6oKdexMqWo0,0.03143445842057736,0
HgU_NNffiEU,0.7316729769248904,1
lsXgZkXRlRY,0.03300995181537619,0
KIGw7DTN9Ho,0.7105459661635697,1
1ru-fmhDnEc,0.08573254078534671,0
qprPJqS9ayY,0.6332099120938964,0
VC4Fl0XobnU,0.03311296606360889,0
SSxDyyAwFU4,0.15954710478305417,0
n5WudFj--a4,0.23201710562160147,0
H1eeRcJrEuE,0.028625471841347172,0
L0P5MLB1Hmk,0.03723383081007978,0
nM9BMSTd-30,0.619654651484245,0
HisWQVg5WC4,0.12707050488715566,0
AO_1hzQegps,0.06330498417359745,0
8_bRLTvYfs8,0.07869363871904698,0
kP0AZlkxySA,0.04221878485567838,0
qbutq7FIsm4,0.7448934297553081,1
-ny7iccX7Y8,0.051218144589455825,0
otDjaEoNUAc,0.03288586620509913,0
UJMDVrYaSw8,0.5820634832447261,1
FO8-wfKt5r8,0.7730592683107149,1
Xdhh3DZoKpI,0.029499380329277045,0
-VM0koZbzI8,0.2864126548499643,0
xXZwjvCq4W4,0.7559956737414528,0
C5-bM6LSK9M,0.1225200599073624,0
