feature,mean_abs_shap
log_subscriber_count,2.10923996007459
views_3h,0.769954070054671
view_delta_1h_3h,0.6834793399931887
likes_3h,0.4112908249961337
title_length,0.32723504683085347
publish_hour,0.27196694759809564
duration_seconds,0.23134617018378303
engagement_rate_early,0.17762067298131606
views_per_minute_early,0.10920472554387219
tag_count,0.0969887224941513
view_growth_rate_1h,0.09329372619178629
view_delta_0h_1h,0.09146253001516658
log_likes_3h,0.07487181558670804
like_view_ratio_3h,0.0649427058543613
is_shorts,0.061438174128971706
views_1h,0.04083263404965507
comment_view_ratio_3h,0.030528080025305066
log_comments_3h,0.0209663706007217
comments_3h,0.01835983618731534
log_views_3h,0.007885574687475298
