model,feature_group,split,timestamp,f1,precision,recall,auc_roc,pr_auc,threshold,n_samples,n_positive
logistic_regression,A,valid,2026-06-09T10:32:51.873555,0.2077922077922078,0.12,0.7741935483870968,0.6426220257688329,0.13994981733535633,0.5,374,31
logistic_regression,A,test,2026-06-09T10:32:51.877709,0.28975265017667845,0.1782608695652174,0.7735849056603774,0.6229941809204727,0.21942107288746904,0.5,374,53
logistic_regression,B,valid,2026-06-09T10:33:26.031107,0.4842105263157895,0.359375,0.7419354838709677,0.8694629925703,0.48179298018032196,0.5,374,31
logistic_regression,B,test,2026-06-09T10:33:26.034415,0.5517241379310345,0.39669421487603307,0.9056603773584906,0.9057191559395756,0.6690224926780012,0.5,374,53
logistic_regression,C1,valid,2026-06-09T10:33:27.217759,0.5168539325842697,0.39655172413793105,0.7419354838709677,0.8671118216872002,0.48131442162408994,0.5,374,31
logistic_regression,C1,test,2026-06-09T10:33:27.221625,0.5380116959064327,0.3898305084745763,0.8679245283018868,0.9041321342502792,0.6676997258261929,0.5,374,53
lightgbm_classifier,A,valid,2026-06-09T10:33:33.206711,0.29508196721311475,0.1978021978021978,0.5806451612903226,0.7688328787736292,0.2423307634740595,0.30279302937940694,374,31
lightgbm_classifier,A,test,2026-06-09T10:33:33.210930,0.384180790960452,0.27419354838709675,0.6415094339622641,0.7262093693058249,0.31988149775036784,0.30279302937940694,374,53
lightgbm_classifier,B,valid,2026-06-09T10:33:37.598387,0.7272727272727273,0.8333333333333334,0.6451612903225806,0.8574249976488292,0.7106815374121978,0.612612268956816,374,31
lightgbm_classifier,B,test,2026-06-09T10:33:37.603645,0.8,0.8076923076923077,0.7924528301886793,0.9417504261447129,0.8278640530757089,0.612612268956816,374,53
lightgbm_classifier,C1,valid,2026-06-09T10:33:44.119991,0.7037037037037037,0.8260869565217391,0.6129032258064516,0.8661713533339603,0.7126339934786164,0.6377877507455634,374,31
lightgbm_classifier,C1,test,2026-06-09T10:33:44.124189,0.7572815533980582,0.78,0.7358490566037735,0.9442779051313701,0.8284462178446447,0.6377877507455634,374,53
lightgbm_classifier,C2,valid,2026-06-09T10:33:45.637373,0.7142857142857143,0.8,0.6451612903225806,0.849054829304994,0.6975888431511804,0.6361708029448224,374,31
lightgbm_classifier,C2,test,2026-06-09T10:33:45.641656,0.78,0.8297872340425532,0.7358490566037735,0.9417504261447128,0.8261761857444019,0.6361708029448224,374,53
lightgbm_classifier,C3,valid,2026-06-09T10:33:47.364230,0.7169811320754716,0.8636363636363636,0.6129032258064516,0.8947615912724537,0.719902461746517,0.7748311297768486,374,31
lightgbm_classifier,C3,test,2026-06-09T10:33:47.368908,0.7884615384615384,0.803921568627451,0.7735849056603774,0.9437488979016047,0.8248727653175172,0.7748311297768486,374,53
lstm_classifier,B,valid,2026-06-09T10:35:22.282989,0.21768707482993196,0.13445378151260504,0.5714285714285714,0.5984933035714286,0.11397094397150563,0.4702976942062378,348,28
lstm_classifier,B,test,2026-06-09T10:35:23.145802,0.25984251968503935,0.15566037735849056,0.7857142857142857,0.5724534847051403,0.16192579566298976,0.4702976942062378,344,42
stacking_ensemble,B,oof_train,2026-06-09T10:35:33.215585,0.7445255474452555,0.7338129496402878,0.7555555555555555,0.8969997457411646,0.7511142344833098,0.7329397251344504,1009,135
stacking_ensemble,B,test,2026-06-09T10:35:33.227739,0.7142857142857143,0.625,0.8333333333333334,0.9331441185745821,0.8055700967454842,0.7329397251344504,344,42
lightgbm_classifier,C1,valid,2026-06-09T12:21:32.551550,0.6896551724137931,0.7407407407407407,0.6451612903225806,0.8658892128279884,0.701587299119779,0.5627700634974527,374,31
lightgbm_classifier,C1,test,2026-06-09T12:21:32.556172,0.7543859649122807,0.7049180327868853,0.8113207547169812,0.9446893551989656,0.8231853536193412,0.5627700634974527,374,53
lightgbm_classifier,C2,valid,2026-06-09T12:21:34.404420,0.7272727272727273,0.8333333333333334,0.6451612903225806,0.8556381077776732,0.7053752283816997,0.6084533484570596,374,31
lightgbm_classifier,C2,test,2026-06-09T12:21:34.409236,0.7450980392156863,0.7755102040816326,0.7169811320754716,0.9401634044554165,0.8199351342769923,0.6084533484570596,374,53
lightgbm_classifier,C3,valid,2026-06-09T12:21:36.343509,0.6885245901639344,0.7,0.6774193548387096,0.859776168531929,0.6910149657105813,0.5110198284657111,374,31
lightgbm_classifier,C3,test,2026-06-09T12:21:36.347897,0.7586206896551724,0.6984126984126984,0.8301886792452831,0.9434550049961794,0.8441854874784349,0.5110198284657111,374,53
logistic_regression,A,valid,2026-06-10T03:05:42.092316,0.23628691983122363,0.13930348258706468,0.7777777777777778,0.6472060723514211,0.15108608032051896,0.5,380,36
logistic_regression,A,test,2026-06-10T03:05:42.095555,0.2828282828282828,0.17142857142857143,0.8076923076923077,0.6429432390970853,0.20910155018598858,0.5,403,52
logistic_regression,B,valid,2026-06-10T03:05:43.162094,0.5370370370370371,0.4027777777777778,0.8055555555555556,0.8909076227390181,0.5743902719176143,0.5,380,36
logistic_regression,B,test,2026-06-10T03:05:43.165263,0.519774011299435,0.368,0.8846153846153846,0.9050515012053474,0.64926756623945,0.5,403,52
logistic_regression,C1,valid,2026-06-10T03:05:44.211910,0.5420560747663551,0.4084507042253521,0.8055555555555556,0.8922803617571059,0.5832854785364704,0.5,380,36
logistic_regression,C1,test,2026-06-10T03:05:44.215299,0.5280898876404494,0.373015873015873,0.9038461538461539,0.9071334648257725,0.6496262227365702,0.5,403,52
lightgbm_classifier,A,valid,2026-06-10T03:05:50.464549,0.34782608695652173,0.36363636363636365,0.3333333333333333,0.7819767441860466,0.3296675508750588,0.2574856191092738,380,36
lightgbm_classifier,A,test,2026-06-10T03:05:50.468658,0.32727272727272727,0.3103448275862069,0.34615384615384615,0.7334812623274162,0.2799268028599049,0.2574856191092738,403,52
lightgbm_classifier,B,valid,2026-06-10T03:05:51.973886,0.7027027027027027,0.6842105263157895,0.7222222222222222,0.899547803617571,0.7253868369556702,0.6795681225295267,380,36
lightgbm_classifier,B,test,2026-06-10T03:05:51.978716,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.9366096866096866,0.7995982949545223,0.6795681225295267,403,52
lightgbm_classifier,C1,valid,2026-06-10T03:05:53.412846,0.7,0.875,0.5833333333333334,0.8608688630490956,0.7304372678034218,0.6324780368273973,380,36
lightgbm_classifier,C1,test,2026-06-10T03:05:53.417239,0.7524752475247525,0.7755102040816326,0.7307692307692307,0.9426912119219811,0.8182508960787984,0.6324780368273973,403,52
lightgbm_classifier,C2,valid,2026-06-10T03:05:54.848376,0.6875,0.7857142857142857,0.6111111111111112,0.8671673126614987,0.7004381992059971,0.6162549213270699,380,36
lightgbm_classifier,C2,test,2026-06-10T03:05:54.853152,0.7628865979381443,0.8222222222222222,0.7115384615384616,0.9344181459566075,0.8092371351316927,0.6162549213270699,403,52
lightgbm_classifier,C3,valid,2026-06-10T03:05:56.268816,0.7419354838709677,0.8846153846153846,0.6388888888888888,0.8880006459948321,0.7486780663892821,0.7398448658233775,380,36
lightgbm_classifier,C3,test,2026-06-10T03:05:56.273381,0.74,0.7708333333333334,0.7115384615384616,0.9391847468770546,0.832046574990577,0.7398448658233775,403,52
lstm_classifier,B,valid,2026-06-10T03:06:39.236518,0.25,0.15441176470588236,0.65625,0.6236857476635514,0.12561900175318352,0.4995821714401245,353,32
lstm_classifier,B,test,2026-06-10T03:06:40.176371,0.2572614107883817,0.15736040609137056,0.7045454545454546,0.5903513664249861,0.14642523729330215,0.4995821714401245,370,44
stacking_ensemble,B,oof_train,2026-06-10T03:06:44.532049,0.7653429602888087,0.75177304964539,0.7794117647058824,0.9101708839960565,0.7866642928295615,0.733139515796512,1031,136
stacking_ensemble,B,test,2026-06-10T03:06:44.544043,0.673469387755102,0.6111111111111112,0.75,0.9187116564417178,0.7829263274599481,0.733139515796512,370,44
