model,feature_group,split,timestamp,mae,rmse,rmsle,r2,n_samples
lightgbm_regressor,B,valid,2026-06-09T10:35:41.467450,0.6022369386363607,0.7903470051125541,0.2688856439978821,0.923426079847989,255
lightgbm_regressor,B,test,2026-06-09T10:35:41.469131,0.836582976124405,1.1689300108225547,0.3501097081113192,0.8659112615421447,198
lightgbm_regressor,C1,valid,2026-06-09T10:35:42.671017,0.6069014811739922,0.7916130507773904,0.26522220746983677,0.9231805580017727,255
lightgbm_regressor,C1,test,2026-06-09T10:35:42.672562,0.8189189170735944,1.133388933035498,0.3369959688483216,0.8739411843056492,198
lstm_regressor,B,valid,2026-06-09T10:36:12.112704,0.7929200611030081,1.021972899412673,0.30267561635041024,0.8719663826229784,255
lstm_regressor,B,test,2026-06-09T10:36:12.863586,1.1290084008938335,1.5928192235770648,0.43644128134248766,0.7428950642323292,191
lightgbm_regressor,C1,valid,2026-06-09T12:21:47.548526,0.6191399311031738,0.8073883337514354,0.26774380802172865,0.9200883318039053,255
lightgbm_regressor,C1,test,2026-06-09T12:21:47.550231,0.8131983525312801,1.129216993037799,0.33815891668037695,0.8748675069084995,198
lightgbm_regressor,B,valid,2026-06-10T03:06:49.918514,0.6135274738320629,0.8102219921891538,0.2646286631360926,0.9245990224034932,264
lightgbm_regressor,B,test,2026-06-10T03:06:49.919936,0.8411470344228984,1.1721972783074066,0.3430864976860932,0.850519915228207,211
lightgbm_regressor,C1,valid,2026-06-10T03:06:51.123059,0.607278405406395,0.8094488990448939,0.2583209614322162,0.9247428451312218,264
lightgbm_regressor,C1,test,2026-06-10T03:06:51.124680,0.8347666417090441,1.162244289036141,0.3324570445201327,0.8530475740988083,211
lstm_regressor,B,valid,2026-06-10T03:07:15.576265,0.821057021165204,1.0886854745448455,0.31305604184707087,0.8638637513073288,264
lstm_regressor,B,test,2026-06-10T03:07:16.261512,1.1372112540143617,1.6098643690336623,0.44476547754149154,0.7046946290916476,204
